Headlines
""
সারদায় প্রশিক্ষণরত আরও ৫৮ এসআইকে অব্যাহতি
শিল্পকলার অপ্রীতিকর ঘটনা নিয়ে যা বললেন ‍উপদেষ্টা রিজওয়ানা
সোহেল তাজকে প্রধান উপদেষ্টার ফোন
বিশ্ব ইজতেমার দুই পর্বের তারিখ ঘোষণা
আপনিও জানাতে পারেন— কেমন পুলিশ চান
"অতিরিক্ত সচিবের বাসায় মিললো কোটি টাকা, ১১ আইফোন"
দেশের বিভিন্ন অঞ্চলে বজ্রসহ বৃষ্টির পূর্বাভাস
পিলখানা হত্যাকাণ্ডের পুনঃতদন্ত দ্রুতই শুরু হবে: স্বরাষ্ট্র উপদেষ্টা
এসএসএফের অস্ত্র এখন সন্ত্রাসীদের হাতে
তরুণরা নতুন বাংলাদেশ দেখতে চায় : ড. ইউনূস
ডলার সংগ্রহে সঞ্চয়পত্রের তিন খাতে সংস্কার
ঢাকা-ইইউ সম্পর্ক নতুন ধাপে যাওয়ার পথ খুলছে
"নতুন সংবিধানে থাকছে চব্বিশের অভ্যুত্থান, কার্যকর করবে অন্তর্বর্তী সরকার"
অপরাধ দমনে তালিকা ধরে গ্রেপ্তারে অভিযান শুরু
সব জেলায় বৈষম্যবিরোধী ছাত্র আন্দোলনের কমিটি গঠন শুরু
বন্ধ হচ্ছে ব্যক্তি-প্রতিষ্ঠানের নামে ট্রেনের টিকিট সংরক্ষণ
নভেম্বরে আবারও ঘূর্ণিঝড়ের শঙ্কা
দশ শতাংশ কৃষি জমির মালিক হলে ওই জেলায় পদায়ন নয়
জরায়ু ক্যানসার প্রতিরোধে টিকা নিয়ে অপপ্রচার চালানো হচ্ছে: স্বাস্থ্য উপদেষ্টা
ইন্টারপোল সম্মেলনে যোগ দিতে যুক্তরাজ্য গেলেন আইজিপি
‘মশক নিধনে ৫৩ বছরে বিশেষজ্ঞের মতামত নেওয়া হয়নি’
দুই মন্ত্রণালয়ে নতুন সচিব নিয়োগ
শেখ হাসিনা বার্নসহ ১৪ হাসপাতালের নাম পরিবর্তন
মেয়াদবিহীন ইন্টারনেট প্যাকেজ চালুর আহ্বান উপদেষ্টা নাহিদের
বাংলাদেশে বিনিয়োগ করতে আগ্রহী ফিনল্যান্ড
আদানি বিদ্যুৎ সরবরাহ বন্ধ করবে এমন চিঠি সরকার পায়নি: প্রেস উইং
ডিবি প্রধানের নাম ব্যবহার করে হুমকি-ধামকি: সতর্ক করল ডিএমপি
আপত্তিকর বক্তব্য: সমন্বয়ক হাসিব আল ইসলামকে শোকজ
ইসি গঠনে ৭ নভেম্বরের মধ্যে নাম চেয়েছে সার্চ কমিটি
শেষ হল পদ্মা-মেঘনায় ইলিশ ধরার নিষেধাজ্ঞা
জরায়ু ক্যানসার প্রতিরোধে টিকা নিয়ে অপপ্রচার চালানো হচ্ছে: স্বাস্থ্য উপদেষ্টা
ওয়েবসাইটের মাধ্যমে নাগরিকদের মতামত গ্রহণ করবে সংবিধান সংস্কার কমিশন
সব প্রকল্প অনুমোদনেই রাজনৈতিক প্রভাব ছিল: ড. দেবপ্রিয় ভট্টাচার্য
গণঅভ্যুত্থানে আহত ৭ জনের চিকিৎসার দায়িত্ব নিয়েছে তুরস্ক
হত্যা মামলায় সাবেক কৃষিমন্ত্রী আবদুস শহীদ কারাগারে
ইসি গঠনে সার্চ কমিটির প্রথম বৈঠক বিকেলে
"আদানির আল্টিমেটাম, ৭ নভেম্বরের মধ্যে বকেয়া পরিশোধ না করলে বিদ্যুৎ সরবরাহ বন্ধ "
সব সিটিতে শিগগিরই পূর্ণাঙ্গ প্রশাসক: উপদেষ্টা এ. এফ. হাসান আরিফ
